"","migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
"5021",5,0.9,1118,9,1118,9,1,"extinction"
"5022",5,0.9,5450,9,5450,9,1,"extinction"
"5023",5,0.9,9504,9,9504,9,1,"extinction"
"5024",5,0.9,388,8,388,8,1,"extinction"
"5025",5,0.9,10001,11,732,34,1,"medium"
"5026",5,0.9,1899,9,1899,9,1,"extinction"
"5027",5,0.9,10001,12,686,72,1,"medium"
"5028",5,0.9,503,9,503,9,1,"extinction"
"5029",5,0.9,10001,11,3275,37,1,"medium"
"5030",5,0.9,233,6,233,6,1,"extinction"
"5031",5,0.9,1979,9,1979,9,1,"extinction"
"5032",5,0.9,2205,10,2205,10,1,"extinction"
"5033",5,0.9,10001,11,7916,41,0.975609756097561,"medium"
"5034",5,0.9,239,10,239,10,1,"extinction"
"5035",5,0.9,6914,5,6914,5,1,"extinction"
"5036",5,0.9,4864,10,4864,10,1,"extinction"
"5037",5,0.9,3389,10,3389,10,1,"extinction"
"5038",5,0.9,7053,9,7053,9,1,"extinction"
"5039",5,0.9,978,10,978,10,1,"extinction"
"5040",5,0.9,691,10,691,10,1,"extinction"
"5041",5,0.9,2956,6,2956,6,1,"extinction"
"5042",5,0.9,785,8,785,8,1,"extinction"
"5043",5,0.9,4916,10,4916,10,1,"extinction"
"5044",5,0.9,10001,11,9470,74,1,"medium"
"5045",5,0.9,3206,8,3206,8,1,"extinction"
"5046",5,0.9,4967,8,4967,8,1,"extinction"
"5047",5,0.9,5117,10,5117,10,1,"extinction"
"5048",5,0.9,154,9,154,9,1,"extinction"
"5049",5,0.9,10001,11,788,52,1,"medium"
"5050",5,0.9,10001,11,140,66,1,"medium"
"5051",5,0.9,4266,9,4266,9,1,"extinction"
"5052",5,0.9,1170,10,1170,10,1,"extinction"
"5053",5,0.9,10001,11,1100,48,0.979166666666667,"medium"
"5054",5,0.9,6638,10,6638,10,1,"extinction"
"5055",5,0.9,3523,8,3523,8,1,"extinction"
"5056",5,0.9,1390,3,1390,3,1,"extinction"
"5057",5,0.9,1535,10,1535,10,1,"extinction"
"5058",5,0.9,7958,9,7958,9,1,"extinction"
"5059",5,0.9,5797,10,5797,10,1,"extinction"
"5060",5,0.9,10001,11,1652,49,1,"medium"
"5061",5,0.9,5873,9,5873,9,1,"extinction"
"5062",5,0.9,5207,8,5207,8,1,"extinction"
"5063",5,0.9,698,10,698,10,1,"extinction"
"5064",5,0.9,2813,8,2813,8,1,"extinction"
"5065",5,0.9,2655,10,2655,10,1,"extinction"
"5066",5,0.9,10001,11,1906,63,1,"medium"
"5067",5,0.9,10001,11,241,46,1,"medium"
"5068",5,0.9,2440,9,2440,9,1,"extinction"
"5069",5,0.9,2371,10,2371,10,1,"extinction"
"5070",5,0.9,3020,8,3020,8,1,"extinction"
"5071",5,0.9,10001,12,5501,33,1,"medium"
"5072",5,0.9,7118,9,7118,9,1,"extinction"
"5073",5,0.9,2516,10,2516,10,1,"extinction"
"5074",5,0.9,782,10,782,10,1,"extinction"
"5075",5,0.9,2423,8,2423,8,1,"extinction"
"5076",5,0.9,6310,8,6310,8,1,"extinction"
"5077",5,0.9,3851,10,3851,10,1,"extinction"
"5078",5,0.9,9697,10,9697,10,1,"extinction"
"5079",5,0.9,10001,12,121,26,1,"medium"
"5080",5,0.9,10001,12,1461,51,1,"medium"
"5081",5,0.9,3465,7,3465,7,1,"extinction"
"5082",5,0.9,1013,9,1013,9,1,"extinction"
"5083",5,0.9,7092,10,7092,10,1,"extinction"
"5084",5,0.9,10001,11,152,57,1,"medium"
"5085",5,0.9,2410,7,2410,7,1,"extinction"
"5086",5,0.9,8848,8,8848,8,1,"extinction"
"5087",5,0.9,3662,5,3662,5,1,"extinction"
"5088",5,0.9,3769,8,3769,8,1,"extinction"
"5089",5,0.9,9955,10,9955,10,1,"extinction"
"5090",5,0.9,1959,10,1959,10,1,"extinction"
"5091",5,0.9,3265,10,3265,10,1,"extinction"
"5092",5,0.9,10001,11,1520,56,1,"medium"
"5093",5,0.9,2680,9,2680,9,1,"extinction"
"5094",5,0.9,1265,5,1265,5,1,"extinction"
"5095",5,0.9,1673,9,1673,9,1,"extinction"
"5096",5,0.9,276,10,276,10,1,"extinction"
"5097",5,0.9,3053,10,3053,10,1,"extinction"
"5098",5,0.9,10001,12,1818,49,1,"medium"
"5099",5,0.9,6619,10,6619,10,1,"extinction"
"5100",5,0.9,1232,10,1232,10,1,"extinction"
"5101",5,0.9,9842,9,9842,9,1,"extinction"
"5102",5,0.9,10001,11,6115,44,1,"medium"
"5103",5,0.9,1014,7,1014,7,1,"extinction"
"5104",5,0.9,3753,9,3753,9,1,"extinction"
"5105",5,0.9,10001,11,3766,62,1,"medium"
"5106",5,0.9,7547,8,7547,8,1,"extinction"
"5107",5,0.9,2150,9,2150,9,1,"extinction"
"5108",5,0.9,976,9,976,9,1,"extinction"
"5109",5,0.9,5370,6,5370,6,1,"extinction"
"5110",5,0.9,1641,10,1641,10,1,"extinction"
"5111",5,0.9,4161,10,4161,10,1,"extinction"
"5112",5,0.9,2307,10,2307,10,1,"extinction"
"5113",5,0.9,7895,8,7895,8,1,"extinction"
"5114",5,0.9,10001,11,4845,29,1,"medium"
"5115",5,0.9,1121,8,1121,8,1,"extinction"
"5116",5,0.9,1824,10,1824,10,1,"extinction"
"5117",5,0.9,3689,8,3689,8,1,"extinction"
"5118",5,0.9,1527,5,1527,5,1,"extinction"
"5119",5,0.9,6384,7,6384,7,1,"extinction"
"5120",5,0.9,8016,10,8016,10,1,"extinction"
"5121",5,0.9,2464,10,2464,10,1,"extinction"
"5122",5,0.9,4034,10,4034,10,1,"extinction"
"5123",5,0.9,5368,10,5368,10,1,"extinction"
"5124",5,0.9,10001,12,7068,63,0.992063492063492,"medium"
