"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"5835",5,1002,6,1002,1000,"medium"
"5836",5,1002,6,1002,1000,"medium"
"5837",5,1002,6,1002,1000,"medium"
"5838",5,713,9,713,5327,"reached_max"
"5839",5,1002,6,1002,1000,"medium"
"5840",5,1002,6,1002,1000,"medium"
"5841",5,778,9,778,5257,"reached_max"
"5842",5,1002,6,1002,1000,"medium"
"5843",5,1002,6,1002,1000,"medium"
"5844",5,1002,6,1002,1000,"medium"
"5845",5,149,9,149,5105,"reached_max"
"5846",5,1002,6,1002,1000,"medium"
"5847",5,1002,6,1002,1000,"medium"
"5848",5,1002,6,1002,1000,"medium"
"5849",5,94,9,94,5075,"reached_max"
"5850",5,123,3,123,1000,"extinction"
"5851",5,1002,6,1002,1000,"medium"
"5852",5,1002,6,1002,1000,"medium"
"5853",5,1002,6,1002,1000,"medium"
"5854",5,1002,6,1002,1000,"medium"
"5855",5,175,9,175,5346,"reached_max"
"5856",5,1002,6,1002,1000,"medium"
"5857",5,149,9,149,5105,"reached_max"
"5858",5,219,9,219,5015,"reached_max"
"5859",5,1002,6,1002,1000,"medium"
"5860",5,1002,6,1002,1000,"medium"
"5861",5,1002,6,1002,1000,"medium"
"5862",5,126,9,126,5356,"reached_max"
"5863",5,253,9,253,5254,"reached_max"
"5864",5,1002,6,1002,1000,"medium"
"5865",5,1002,6,1002,1000,"medium"
"5866",5,1002,6,1002,1000,"medium"
"5867",5,1002,6,1002,1000,"medium"
"5868",5,1002,6,1002,1000,"medium"
"5869",5,1002,6,1002,1000,"medium"
"5870",5,1002,6,1002,1000,"medium"
"5871",5,1002,6,1002,1000,"medium"
"5872",5,1002,6,1002,1000,"medium"
"5873",5,294,3,294,1000,"extinction"
"5874",5,245,9,245,5174,"reached_max"
"5875",5,306,9,306,5202,"reached_max"
"5876",5,122,9,122,5267,"reached_max"
"5877",5,1002,6,1002,1000,"medium"
"5878",5,573,3,573,1000,"extinction"
"5879",5,1002,6,1002,1000,"medium"
"5880",5,433,3,433,1000,"extinction"
"5881",5,171,9,171,5234,"reached_max"
"5882",5,1002,6,1002,1000,"medium"
"5883",5,1002,6,1002,1000,"medium"
"5884",5,1002,6,1002,1000,"medium"
"5885",5,1002,6,1002,1000,"medium"
"5886",5,973,9,973,5076,"reached_max"
"5887",5,276,3,276,1000,"extinction"
"5888",5,876,9,876,5354,"reached_max"
"5889",5,104,9,104,5066,"reached_max"
"5890",5,625,9,625,5153,"reached_max"
"5891",5,1002,6,1002,1000,"medium"
"5892",5,900,3,900,1000,"extinction"
"5893",5,1002,6,1002,1000,"medium"
"5894",5,1002,6,1002,1000,"medium"
"5895",5,139,9,139,5017,"reached_max"
"5896",5,1002,6,1002,1000,"medium"
"5897",5,1002,6,1002,1000,"medium"
"5898",5,1002,6,1002,1000,"medium"
"5899",5,1002,6,1002,1000,"medium"
"5900",5,1002,6,1002,1000,"medium"
"5901",5,431,3,431,1000,"extinction"
"5902",5,1002,6,1002,1000,"medium"
"5903",5,1002,6,1002,1000,"medium"
"5904",5,772,9,772,5289,"reached_max"
"5905",5,893,9,893,5048,"reached_max"
"5906",5,1002,6,1002,1000,"medium"
"5907",5,1002,6,1002,1000,"medium"
"5908",5,1002,6,1002,1000,"medium"
"5909",5,1002,6,1002,1000,"medium"
"5910",5,553,3,553,1000,"extinction"
"5911",5,197,9,197,5066,"reached_max"
"5912",5,1002,6,1002,1000,"medium"
"5913",5,1002,6,1002,1000,"medium"
"5914",5,1002,6,1002,1000,"medium"
"5915",5,1002,6,1002,1000,"medium"
"5916",5,1002,6,1002,1000,"medium"
"5917",5,120,9,120,5107,"reached_max"
"5918",5,1002,6,1002,1000,"medium"
"5919",5,867,9,867,5366,"reached_max"
"5920",5,1002,6,1002,1000,"medium"
"5921",5,1002,6,1002,1000,"medium"
"5922",5,1002,6,1002,1000,"medium"
"5923",5,1002,6,1002,1000,"medium"
"5924",5,1002,6,1002,1000,"medium"
"5925",5,827,3,827,1000,"extinction"
"5926",5,1002,6,1002,1000,"medium"
"5927",5,1002,6,1002,1000,"medium"
"5928",5,1002,6,1002,1000,"medium"
"5929",5,388,3,388,1000,"extinction"
"5930",5,257,3,257,1000,"extinction"
"5931",5,275,9,275,5405,"reached_max"
"5932",5,1002,6,1002,1000,"medium"
"5933",5,116,3,116,1000,"extinction"
"5934",5,1002,6,1002,1000,"medium"
"5935",5,1002,6,1002,1000,"medium"
"5936",5,1002,6,1002,1000,"medium"
"5937",5,218,9,218,5352,"reached_max"
"5938",5,1002,6,1002,1000,"medium"
"5939",5,1002,6,1002,1000,"medium"
"5940",5,876,9,876,5065,"reached_max"
"5941",5,1002,6,1002,1000,"medium"
"5942",5,375,9,375,5423,"reached_max"
"5943",5,1002,6,1002,1000,"medium"
"5944",5,689,9,689,5292,"reached_max"
"5945",5,1002,6,1002,1000,"medium"
"5946",5,1002,6,1002,1000,"medium"
"5947",5,824,9,824,5064,"reached_max"
"5948",5,1002,6,1002,1000,"medium"
"5949",5,1002,6,1002,1000,"medium"
"5950",5,1002,6,1002,1000,"medium"
"5951",5,1002,6,1002,1000,"medium"
"5952",5,1002,6,1002,1000,"medium"
"5953",5,1002,6,1002,1000,"medium"
"5954",5,1002,6,1002,1000,"medium"
"5955",5,1002,6,1002,1000,"medium"
"5956",5,1002,6,1002,1000,"medium"
"5957",5,402,9,402,5166,"reached_max"
"5958",5,1002,6,1002,1000,"medium"
"5959",5,1002,6,1002,1000,"medium"
"5960",5,1002,6,1002,1000,"medium"
"5961",5,611,9,611,5006,"reached_max"
"5962",5,1002,6,1002,1000,"medium"
"5963",5,224,9,224,5297,"reached_max"
"5964",5,1002,6,1002,1000,"medium"
"5965",5,491,9,491,5389,"reached_max"
"5966",5,1002,6,1002,1000,"medium"
"5967",5,578,9,578,5187,"reached_max"
"5968",5,763,3,763,1000,"extinction"
"5969",5,1002,6,1002,1000,"medium"
"5970",5,1002,6,1002,1000,"medium"
"5971",5,1002,6,1002,1000,"medium"
"5972",5,656,9,656,5020,"reached_max"
"5973",5,1002,6,1002,1000,"medium"
"5974",5,825,9,825,5296,"reached_max"
"5975",5,1002,6,1002,1000,"medium"
"5976",5,794,9,794,5039,"reached_max"
"5977",5,1002,6,1002,1000,"medium"
"5978",5,1002,6,1002,1000,"medium"
"5979",5,838,3,838,1000,"extinction"
"5980",5,1002,6,1002,1000,"medium"
"5981",5,1002,6,1002,1000,"medium"
"5982",5,1002,6,1002,1000,"medium"
"5983",5,1002,6,1002,1000,"medium"
"5984",5,1002,6,1002,1000,"medium"
"5985",5,1002,6,1002,1000,"medium"
"5986",5,312,9,312,5056,"reached_max"
"5987",5,1002,6,1002,1000,"medium"
"5988",5,1002,6,1002,1000,"medium"
"5989",5,424,9,424,5221,"reached_max"
"5990",5,962,3,962,1000,"extinction"
"5991",5,161,9,161,5051,"reached_max"
"5992",5,459,9,459,5325,"reached_max"
"5993",5,1002,6,1002,1000,"medium"
"5994",5,1002,6,1002,1000,"medium"
"5995",5,1002,6,1002,1000,"medium"
"5996",5,1002,6,1002,1000,"medium"
"5997",5,1002,6,1002,1000,"medium"
"5998",5,1002,6,1002,1000,"medium"
"5999",5,1002,6,1002,1000,"medium"
"6000",5,390,9,390,5255,"reached_max"
"6001",6,1002,6,1002,1000,"medium"
"6002",6,1002,6,1002,1000,"medium"
"6003",6,1002,6,1002,1000,"medium"
"6004",6,1002,6,1002,1000,"medium"
"6005",6,759,9,759,5291,"reached_max"
"6006",6,1002,6,1002,1000,"medium"
"6007",6,1002,6,1002,1000,"medium"
"6008",6,1002,6,1002,1926,"medium"
"6009",6,1002,6,1002,1000,"medium"
"6010",6,1002,6,1002,1000,"medium"
"6011",6,1002,6,1002,1000,"medium"
"6012",6,1002,6,1002,1000,"medium"
