"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"3798",3,287,6,287,1000,"extinction"
"3799",3,402,6,402,1000,"extinction"
"3800",3,279,5,279,1000,"extinction"
"3801",3,335,6,335,1000,"extinction"
"3802",3,500,5,500,1000,"extinction"
"3803",3,211,6,211,1000,"extinction"
"3804",3,32,93,99,5326,"reached_max"
"3805",3,187,4,187,1000,"extinction"
"3806",3,221,5,221,1000,"extinction"
"3807",3,219,6,219,1000,"extinction"
"3808",3,89,6,89,1000,"extinction"
"3809",3,372,6,372,1000,"extinction"
"3810",3,131,14,255,5125,"reached_max"
"3811",3,29,64,115,5051,"reached_max"
"3812",3,51,48,141,5002,"reached_max"
"3813",3,241,7,991,5476,"reached_max"
"3814",3,48,27,147,5068,"reached_max"
"3815",3,206,9,351,5262,"reached_max"
"3816",3,500,5,500,1000,"extinction"
"3817",3,376,6,376,1000,"extinction"
"3818",3,52,54,134,5279,"reached_max"
"3819",3,518,5,518,1000,"extinction"
"3820",3,990,4,990,1000,"extinction"
"3821",3,362,12,521,5195,"reached_max"
"3822",3,281,5,281,1000,"extinction"
"3823",3,220,5,220,1000,"extinction"
"3824",3,126,9,346,5165,"reached_max"
"3825",3,323,6,323,1000,"extinction"
"3826",3,488,5,488,1000,"extinction"
"3827",3,70,6,70,1000,"extinction"
"3828",3,195,10,388,5160,"reached_max"
"3829",3,35,53,130,5046,"reached_max"
"3830",3,29,67,103,5047,"reached_max"
"3831",3,258,6,258,1000,"extinction"
"3832",3,146,6,146,1000,"extinction"
"3833",3,85,5,85,1000,"extinction"
"3834",3,100,4,100,1000,"extinction"
"3835",3,83,45,155,5009,"reached_max"
"3836",3,49,52,163,5314,"reached_max"
"3837",3,143,6,143,1000,"extinction"
"3838",3,105,5,105,1000,"extinction"
"3839",3,32,104,100,5138,"reached_max"
"3840",3,327,9,683,5041,"reached_max"
"3841",3,584,6,584,1000,"extinction"
"3842",3,176,5,176,1000,"extinction"
"3843",3,250,5,250,1000,"extinction"
"3844",3,189,9,405,5353,"reached_max"
"3845",3,362,4,362,1000,"extinction"
"3846",3,221,9,650,5251,"reached_max"
"3847",3,108,5,108,1000,"extinction"
"3848",3,107,10,212,5068,"reached_max"
"3849",3,41,65,134,5459,"reached_max"
"3850",3,836,6,836,1000,"extinction"
"3851",3,525,6,525,1000,"extinction"
"3852",3,183,5,183,1000,"extinction"
"3853",3,215,6,215,1000,"extinction"
"3854",3,128,5,128,1000,"extinction"
"3855",3,53,89,127,5359,"reached_max"
"3856",3,121,11,385,5107,"reached_max"
"3857",3,680,6,680,1000,"extinction"
"3858",3,50,32,154,5273,"reached_max"
"3859",3,154,4,154,1000,"extinction"
"3860",3,164,12,376,5201,"reached_max"
"3861",3,90,29,179,5084,"reached_max"
"3862",3,48,48,192,5188,"reached_max"
"3863",3,41,80,99,5237,"reached_max"
"3864",3,343,6,343,1000,"extinction"
"3865",3,97,7,294,5287,"reached_max"
"3866",3,767,6,767,1000,"extinction"
"3867",3,74,6,74,1000,"extinction"
"3868",3,112,12,239,5071,"reached_max"
"3869",3,79,34,257,5335,"reached_max"
"3870",3,30,100,97,5234,"reached_max"
"3871",3,560,6,560,1000,"extinction"
"3872",3,118,6,118,1000,"extinction"
"3873",3,55,104,120,5294,"reached_max"
"3874",3,386,7,948,5025,"reached_max"
"3875",3,79,6,79,1000,"extinction"
"3876",3,555,6,555,1000,"extinction"
"3877",3,1413,5,1413,1000,"extinction"
"3878",3,969,2,969,1000,"extinction"
"3879",3,63,6,63,1000,"extinction"
"3880",3,169,6,169,1000,"extinction"
"3881",3,533,5,533,1000,"extinction"
"3882",3,420,5,420,1000,"extinction"
"3883",3,124,6,124,1000,"extinction"
"3884",3,107,6,107,1000,"extinction"
"3885",3,60,23,179,5134,"reached_max"
"3886",3,759,4,759,1000,"extinction"
"3887",3,52,53,132,5321,"reached_max"
"3888",3,95,9,411,5249,"reached_max"
