"migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
3,0.9,128,6,128,6,1,1
3,0.9,63,6,63,6,1,1
3,0.9,166,6,166,6,1,1
3,0.9,210,6,210,6,1,1
3,0.9,42,6,42,6,1,1
3,0.9,501,6,501,6,1,1
3,0.9,75,2,75,2,1,1
3,0.9,143,5,143,5,1,1
3,0.9,79,6,79,6,1,1
3,0.9,826,6,826,6,1,1
3,0.9,419,5,419,5,1,1
3,0.9,163,5,163,5,1,1
3,0.9,122,3,122,3,1,1
3,0.9,265,6,265,6,1,1
3,0.9,438,6,438,6,1,1
3,0.9,252,5,252,5,1,1
3,0.9,255,5,255,5,1,1
3,0.9,46,6,46,6,1,1
3,0.9,226,6,226,6,0.916666666666667,1
3,0.9,142,3,142,3,1,1
3,0.9,420,5,420,5,1,1
3,0.9,681,6,681,6,1,1
3,0.9,190,6,190,6,1,1
3,0.9,411,4,411,4,1,1
3,0.9,1254,4,1254,4,1,1
3,0.9,275,4,275,4,1,1
3,0.9,251,4,251,4,1,1
3,0.9,204,6,204,6,1,1
3,0.9,1278,5,1278,5,1,1
3,0.9,742,6,742,6,1,1
3,0.9,109,5,109,5,1,1
3,0.9,363,6,363,6,1,1
3,0.9,1266,2,1266,2,1,1
3,0.9,125,4,125,4,1,1
3,0.9,716,6,716,6,1,1
3,0.9,174,6,174,6,1,1
3,0.9,145,6,145,6,1,1
3,0.9,380,5,380,5,1,1
3,0.9,624,6,624,6,1,1
3,0.9,185,6,185,6,1,1
3,0.9,204,5,204,5,1,1
3,0.9,304,6,304,6,1,1
3,0.9,429,5,429,5,1,1
3,0.9,470,4,470,4,1,1
3,0.9,524,6,524,6,1,1
3,0.9,75,6,75,6,0.75,1
3,0.9,536,5,536,5,1,1
3,0.9,272,5,272,5,1,1
3,0.9,216,6,216,6,1,1
3,0.9,676,5,676,5,1,1
3,0.9,204,6,204,6,0.833333333333333,1
3,0.9,1399,5,1399,5,0.9,1
3,0.9,1059,6,1059,6,1,1
3,0.9,171,6,171,6,1,1
3,0.9,966,6,966,6,1,1
3,0.9,1377,6,1377,6,1,1
3,0.9,157,4,157,4,1,1
3,0.9,464,5,464,5,1,1
3,0.9,133,6,133,6,1,1
3,0.9,388,6,388,6,1,1
3,0.9,95,4,95,4,1,1
3,0.9,624,4,624,4,1,1
3,0.9,105,6,105,6,1,1
3,0.9,160,5,160,5,0.9,1
3,0.9,260,6,260,6,1,1
3,0.9,225,6,225,6,1,1
3,0.9,223,6,223,6,1,1
3,0.9,225,5,225,5,1,1
3,0.9,726,6,726,6,1,1
3,0.9,489,5,489,5,1,1
3,0.9,152,6,152,6,1,1
3,0.9,151,3,151,3,1,1
3,0.9,91,6,91,6,1,1
3,0.9,216,5,216,5,1,1
3,0.9,553,3,553,3,1,1
3,0.9,192,1,192,1,1,1
3,0.9,258,4,258,4,1,1
3,0.9,603,5,603,5,1,1
3,0.9,342,6,342,6,1,1
3,0.9,189,5,189,5,1,1
3,0.9,468,4,468,4,1,1
3,0.9,117,4,117,4,0.875,1
3,0.9,259,6,259,6,1,1
3,0.9,133,6,133,6,1,1
3,0.9,110,6,110,6,1,1
3,0.9,46,6,46,6,1,1
3,0.9,356,6,356,6,1,1
3,0.9,201,4,201,4,1,1
3,0.9,165,6,165,6,1,1
3,0.9,143,2,143,2,1,1
3,0.9,185,1,185,1,1,1
3,0.9,262,6,262,6,1,1
3,0.9,2239,6,2239,6,0.416666666666667,1
3,0.9,204,6,204,6,1,1
3,0.9,196,3,196,3,1,1
3,0.9,199,6,199,6,1,1
3,0.9,447,6,447,6,1,1
3,0.9,284,3,284,3,1,1
3,0.9,66,6,66,6,1,1
3,0.9,94,6,94,6,1,1
3,0.9,552,5,552,5,1,1
3,0.9,768,5,768,5,1,1
3,0.9,766,6,766,6,1,1
3,0.9,49,5,49,5,1,1
3,0.9,55,6,55,6,1,1
3,0.9,82,4,82,4,1,1
3,0.9,123,5,123,5,1,1
3,0.9,230,5,230,5,1,1
3,0.9,84,6,84,6,1,1
3,0.9,368,6,368,6,1,1
3,0.9,241,4,241,4,1,1
3,0.9,1302,6,1302,6,1,1
3,0.9,161,5,161,5,1,1
3,0.9,364,6,364,6,1,1
3,0.9,327,5,327,5,1,1
3,0.9,1099,5,1099,5,1,1
3,0.9,887,6,887,6,1,1
3,0.9,396,5,396,5,1,1
3,0.9,160,5,160,5,1,1
3,0.9,250,4,250,4,1,1
3,0.9,408,6,408,6,1,1
3,0.9,328,2,328,2,1,1
3,0.9,99,5,99,5,1,1
3,0.9,258,5,258,5,1,1
3,0.9,116,6,116,6,1,1
3,0.9,518,6,518,6,1,1
3,0.9,811,6,811,6,1,1
3,0.9,764,6,764,6,1,1
3,0.9,1234,5,1234,5,1,1
3,0.9,373,6,373,6,1,1
3,0.9,1069,6,1069,6,1,1
3,0.9,92,5,92,5,1,1
3,0.9,419,6,419,6,1,1
3,0.9,102,6,102,6,1,1
3,0.9,53,3,53,3,1,1
3,0.9,324,6,324,6,1,1
3,0.9,497,6,497,6,1,1
3,0.9,275,4,275,4,1,1
3,0.9,891,5,891,5,1,1
3,0.9,1648,6,1648,6,1,1
3,0.9,182,4,182,4,1,1
3,0.9,453,5,453,5,1,1
3,0.9,121,6,121,6,1,1
3,0.9,1670,6,1670,6,1,1
3,0.9,902,6,902,6,1,1
3,0.9,625,5,625,5,1,1
3,0.9,65,6,65,6,1,1
3,0.9,93,5,93,5,1,1
3,0.9,655,4,655,4,1,1
3,0.9,77,5,77,5,1,1
3,0.9,2152,5,2152,5,1,1
3,0.9,315,6,315,6,1,1
3,0.9,297,5,297,5,1,1
3,0.9,73,6,73,6,1,1
3,0.9,598,5,598,5,1,1
3,0.9,629,5,629,5,1,1
3,0.9,1042,6,1042,6,1,1
3,0.9,115,6,115,6,1,1
3,0.9,99,6,99,6,1,1
3,0.9,447,5,447,5,1,1
3,0.9,46,3,46,3,1,1
3,0.9,259,5,259,5,1,1
3,0.9,396,6,396,6,1,1
3,0.9,551,6,551,6,1,1
3,0.9,938,6,938,6,1,1
3,0.9,456,1,456,1,1,1
3,0.9,741,3,741,3,1,1
3,0.9,1972,5,1972,5,1,1
3,0.9,1212,6,1212,6,1,1
3,0.9,1149,6,1149,6,1,1
3,0.9,60,6,60,6,1,1
3,0.9,965,6,965,6,1,1
3,0.9,197,6,197,6,1,1
3,0.9,1010,6,1010,6,1,1
3,0.9,395,6,395,6,1,1
3,0.9,470,6,470,6,1,1
3,0.9,892,5,892,5,1,1
3,0.9,333,5,333,5,1,1
3,0.9,1275,6,1275,6,1,1
3,0.9,511,6,511,6,1,1
3,0.9,261,6,261,6,1,1
3,0.9,207,6,207,6,1,1
3,0.9,199,6,199,6,1,1
3,0.9,164,6,164,6,1,1
3,0.9,245,5,245,5,1,1
